option	kind	default	family	object	depends	source	help	role	n_values	in_build
ksp_fetidp_fullyredundant	bool	fetidp->fully_redundant	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:1287	Use fully redundant multipliers	tuning		yes
ksp_fetidp_pressure_all	bool	allp	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:527	Use the whole pressure set instead of just that at the interface	tuning		yes
ksp_fetidp_pressure_field	array		ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:526	Field id for pressures for saddle-point problems	tuning		yes
ksp_fetidp_pressure_schur	bool	schp	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:529	Use a BDDC solver for pressure	tuning		yes
ksp_fetidp_saddlepoint	bool	fetidp->saddlepoint	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:1288	Activates support for saddle-point problems	tuning		yes
ksp_fetidp_saddlepoint_flip	bool	flip	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:528	Flip the sign of the pressure-velocity (lower-left) block	tuning		yes
ksp_fgmres_modifypcksp	bool	&flg	ksp	fgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/fgmres/fgmres.c:430	vary the KSP based preconditioner	tuning		yes
ksp_fgmres_modifypcnochange	bool	&flg	ksp	fgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/fgmres/fgmres.c:428	do not vary the preconditioner	tuning		yes
ksp_fischer_guess	array		ksp	itcl		src/ksp/ksp/interface/itcl.c:450	Use Paul Fischer's algorithm or its variants for initial guess	tuning		yes
ksp_gcr_restart	int	ctx->restart	ksp	gcr	ksp_type=gcr	src/ksp/ksp/impls/gcr/gcr.c:185	Number of Krylov search directions	tuning		yes
ksp_gmres_breakdown_tolerance	real	gmres->breakdowntol	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:546	Divergence breakdown tolerance during GMRES restart	tuning		yes
ksp_gmres_cgs_refinement_type	enum	(PetscEnum)gmres->cgstype	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:555	Type of iterative refinement for classical (unmodified) Gram-Schmidt	tuning	3	yes
ksp_gmres_classicalgramschmidt	bool	&flg	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:551	Classical (unmodified) Gram-Schmidt (fast)	tuning		yes
ksp_gmres_haptol	real	gmres->haptol	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:544	Tolerance for exact convergence (happy ending)	tuning		yes
ksp_gmres_krylov_monitor	bool	flg	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:557	Plot the Krylov directions	diagnostic		yes
ksp_gmres_modifiedgramschmidt	bool	&flg	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:553	Modified Gram-Schmidt (slow,more stable)	tuning		yes
ksp_gmres_preallocate	bool	flg	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:549	Preallocate Krylov vectors	tuning		yes
ksp_gmres_restart	int	gmres->max_k	ksp	gmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/gmres.c:542	Number of Krylov search directions	tuning		yes
ksp_guess_fischer_model	array		ksp	fischer	ksp_type=fischer	src/ksp/ksp/guess/impls/fischer/fischer.c:345	Model type and dimension of basis	tuning		yes
ksp_guess_fischer_monitor	bool	ITG->monitor	ksp	fischer	ksp_type=fischer	src/ksp/ksp/guess/impls/fischer/fischer.c:348	Monitor the guess	diagnostic		yes
ksp_guess_fischer_tol	real	ITG->tol	ksp	fischer	ksp_type=fischer	src/ksp/ksp/guess/impls/fischer/fischer.c:347	Tolerance to determine rank via ratio of singular values	tuning		yes
ksp_guess_pod_Ainner	bool	pod->Aspd	ksp	pod	ksp_type=pod	src/ksp/ksp/guess/impls/pod/pod.c:408	Use the operator as inner product (must be SPD)	tuning		yes
ksp_guess_pod_monitor	bool	pod->monitor	ksp	pod	ksp_type=pod	src/ksp/ksp/guess/impls/pod/pod.c:406	Monitor initial guess generator	diagnostic		yes
ksp_guess_pod_size	int	pod->maxn	ksp	pod	ksp_type=pod	src/ksp/ksp/guess/impls/pod/pod.c:405	Number of snapshots	tuning		yes
ksp_guess_pod_tol	real	pod->tol	ksp	pod	ksp_type=pod	src/ksp/ksp/guess/impls/pod/pod.c:407	Tolerance to retain eigenvectors	tuning		yes
ksp_guess_type	enum	NULL	ksp	itcl		src/ksp/ksp/interface/itcl.c:443	Initial guess in Krylov method	tuning		yes
ksp_initial_guess_nonzero	bool	ksp->guess_zero ? PETSC_FALSE : PETSC_TR	ksp	itcl		src/ksp/ksp/interface/itcl.c:380	Use the contents of the solution vector for initial guess	tuning		yes
ksp_knoll	bool	ksp->guess_knoll	ksp	itcl		src/ksp/ksp/interface/itcl.c:441	Use preconditioner applied to b for initial guess	tuning		yes
ksp_lag_norm	bool	ksp->lagnorm	ksp	itcl		src/ksp/ksp/interface/itcl.c:480	Lag the calculation of the residual norm	tuning		yes
ksp_lcd_haptol	real	lcd->haptol	ksp	lcd	ksp_type=lcd	src/ksp/ksp/impls/lcd/lcd.c:176	Tolerance for exact convergence (happy ending)	tuning		yes
ksp_lcd_restart	int	lcd->restart	ksp	lcd	ksp_type=lcd	src/ksp/ksp/impls/lcd/lcd.c:175	Number of vectors conjugate	tuning		yes
ksp_lgmres_augment	int	lgmres->aug_dim	ksp	lgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/lgmres/lgmres.c:584	Number of error approximations to augment the Krylov space with	tuning		yes
ksp_lgmres_constant	bool	lgmres->approx_constant	ksp	lgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/lgmres/lgmres.c:583	Use constant approx. space size	tuning		yes
ksp_lsqr_compute_standard_error	bool	lsqr->se_flg	ksp	lsqr	ksp_type=lsqr	src/ksp/ksp/impls/lsqr/lsqr.c:516	Set Standard Error Estimates of Solution	tuning		yes
ksp_lsqr_exact_mat_norm	bool	lsqr->exact_norm	ksp	lsqr	ksp_type=lsqr	src/ksp/ksp/impls/lsqr/lsqr.c:517	Compute exact matrix norm instead of iteratively refined estimate	tuning		yes
ksp_matsolve_batch_size	int	nmax	ksp	itcl		src/ksp/ksp/interface/itcl.c:412	Maximum number of columns treated simultaneously	tuning		yes
ksp_max_it	int	ksp->max_it	ksp	itcl		src/ksp/ksp/interface/itcl.c:424	Maximum number of iterations	tuning		yes
ksp_min_it	int	ksp->min_it	ksp	itcl		src/ksp/ksp/interface/itcl.c:426	Minimum number of iterations	tuning		yes
ksp_minres_nutol	real	minres->nutol	ksp	minres	ksp_type=minres	src/ksp/ksp/impls/minres/minres.c:729	Inexactness tolerance	tuning		yes
ksp_minres_old	bool	flg	ksp	minres	ksp_type=minres	src/ksp/ksp/impls/minres/minres.c:721	Use old implementation (to be removed)	tuning		yes
ksp_minres_qlp	bool	minres->qlp	ksp	minres	ksp_type=minres	src/ksp/ksp/impls/minres/minres.c:725	Solve with QLP variant	tuning		yes
ksp_minres_radius	real	minres->maxxnorm	ksp	minres	ksp_type=minres	src/ksp/ksp/impls/minres/minres.c:726	Maximum allowed norm of solution	tuning		yes
ksp_minres_trancond	real	minres->TranCond	ksp	minres	ksp_type=minres	src/ksp/ksp/impls/minres/minres.c:727	Threshold on condition number to dynamically switch to QLP	tuning		yes
ksp_monitor_cancel	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:368	Remove any hardwired monitor routines	diagnostic		yes
ksp_monitor_lg_range	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:531	Monitor graphically range of preconditioned residual norm	diagnostic		yes
ksp_monitor_pause_final	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:379	Pauses all draw monitors at the final iterate	diagnostic		yes
ksp_monitor_python	string	monfilename	ksp	itcl		src/ksp/ksp/interface/itcl.c:526	Use Python function	diagnostic		yes
ksp_monitor_saws	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:608	Publish KSP progress using SAWs	diagnostic		not found
ksp_norm_type	enum	(PetscEnum)normtype	ksp	itcl		src/ksp/ksp/interface/itcl.c:475	KSP Norm type	tuning		yes
ksp_pc_side	enum	(PetscEnum)pcside	ksp	itcl		src/ksp/ksp/interface/itcl.c:618	KSP preconditioner side	tuning		yes
ksp_pipefcg_mmax	int	pipefcg->mmax	ksp	pipefcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/pipefcg/pipefcg.c:562	Number of search directions to storue	tuning		yes
ksp_pipefcg_nprealloc	int	pipefcg->nprealloc	ksp	pipefcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/pipefcg/pipefcg.c:564	Number of directions to preallocate	tuning		yes
ksp_pipefcg_truncation_type	enum	(PetscEnum)pipefcg->truncstrat	ksp	pipefcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/pipefcg/pipefcg.c:566	Truncation approach for directions	tuning	2	yes
ksp_pipefgmres_shift	real	pipefgmres->shift	ksp	pipefgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/pipefgmres/pipefgmres.c:476	shift parameter	tuning		yes
ksp_pipegcr_mmax	int	pipegcr->mmax	ksp	pipegcr	ksp_type=gcr	src/ksp/ksp/impls/gcr/pipegcr/pipegcr.c:650	Number of search directions to storue	tuning		yes
ksp_pipegcr_nprealloc	int	pipegcr->nprealloc	ksp	pipegcr	ksp_type=gcr	src/ksp/ksp/impls/gcr/pipegcr/pipegcr.c:652	Number of directions to preallocate	tuning		yes
ksp_pipegcr_truncation_type	enum	(PetscEnum)pipegcr->truncstrat	ksp	pipegcr	ksp_type=gcr	src/ksp/ksp/impls/gcr/pipegcr/pipegcr.c:654	Truncation approach for directions	tuning	2	yes
ksp_pipegcr_unroll_w	bool	pipegcr->unroll_w	ksp	pipegcr	ksp_type=gcr	src/ksp/ksp/impls/gcr/pipegcr/pipegcr.c:655	Use unrolling of w	tuning		yes
ksp_pipelcg_lmax	real	plcg->lmax	ksp	pipelcg	ksp_type=cg	src/ksp/ksp/impls/cg/pipelcg/pipelcg.c:94	Estimate for largest eigenvalue	tuning		yes
ksp_pipelcg_lmin	real	plcg->lmin	ksp	pipelcg	ksp_type=cg	src/ksp/ksp/impls/cg/pipelcg/pipelcg.c:92	Estimate for smallest eigenvalue	tuning		yes
ksp_pipelcg_monitor	bool	plcg->show_rstrt	ksp	pipelcg	ksp_type=cg	src/ksp/ksp/impls/cg/pipelcg/pipelcg.c:96	Output information on restarts when they occur? (default: 0)	diagnostic		yes
ksp_pipelcg_pipel	int	plcg->l	ksp	pipelcg	ksp_type=cg	src/ksp/ksp/impls/cg/pipelcg/pipelcg.c:90	Pipeline length	tuning		yes
ksp_plot_eigencontours	bool		ksp	itcl		src/ksp/ksp/interface/itcl.c:586	None	tuning		yes
ksp_plot_eigencontours_explicitly	bool		ksp	itcl		src/ksp/ksp/interface/itcl.c:595	None	tuning		not found
ksp_plot_eigenvalues	bool		ksp	itcl		src/ksp/ksp/interface/itcl.c:575	None	tuning		yes
ksp_plot_eigenvalues_explicitly	bool	&ksp->viewEVExp	ksp	itcl		src/ksp/ksp/interface/itcl.c:596	[deprecated since PETSc 3.9; use -ksp_view_eigenvalues_explicit draw]	tuning		yes
ksp_qcg_trustregionradius	real	cgP->delta	ksp	qcg	ksp_type=qcg	src/ksp/ksp/impls/qcg/qcg.c:369	Trust Region Radius	tuning		yes
ksp_reuse_preconditioner	bool	reuse	ksp	itcl		src/ksp/ksp/interface/itcl.c:386	Use initial preconditioner and don't ever compute a new one	tuning		yes
ksp_richardson_scale	real	rich->scale	ksp	rich	ksp_type=richardson	src/ksp/ksp/impls/rich/rich.c:174	damping factor	tuning		yes
ksp_richardson_self_scale	bool	rich->selfscale	ksp	rich	ksp_type=richardson	src/ksp/ksp/impls/rich/rich.c:176	dynamically determine optimal damping factor	tuning		yes
ksp_rtol	real	ksp->rtol	ksp	itcl		src/ksp/ksp/interface/itcl.c:421	Relative decrease in residual norm	tuning		yes
ksp_saws_block	bool	((PetscObject)ksp)->amspublishblock	ksp	itcl		src/ksp/ksp/interface/itcl.c:627	Block for SAWs at end of KSPSolve	tuning		not found
ksp_tsirm_cgls	int	tsirm->cgls	ksp	tsirm	ksp_type=tsirm	src/ksp/ksp/impls/tsirm/tsirm.c:127	Method used for the minimization step	tuning		yes
ksp_tsirm_max_it_ls	int	tsirm->maxiter_ls	ksp	tsirm	ksp_type=tsirm	src/ksp/ksp/impls/tsirm/tsirm.c:129	Maximum number of iterations for the minimization step	tuning		yes
ksp_tsirm_size_ls	int	tsirm->size_ls	ksp	tsirm	ksp_type=tsirm	src/ksp/ksp/impls/tsirm/tsirm.c:130	Number of residuals for minimization	tuning		yes
ksp_tsirm_tol_ls	real	tsirm->tol_ls	ksp	tsirm	ksp_type=tsirm	src/ksp/ksp/impls/tsirm/tsirm.c:128	Tolerance threshold for the minimization step	tuning		yes
ksp_type	enum	(char *)(((PetscObject)ksp)->type_name ?	ksp	itcl		src/ksp/ksp/interface/itcl.c:358	Krylov method	tuning	47	yes
ksp_use_explicittranspose	bool	ksp->transpose.use_explicittranspose	ksp	itcl		src/ksp/ksp/interface/itcl.c:638	Explicitly transpose the system in KSPSolveTranspose	tuning		yes
mat_hermitian	bool	flg	ksp	schurm		src/ksp/ksp/utils/schurm/schurm.c:587	Sets the MAT_HERMITIAN option	tuning		not found
mat_lbfgs_recursive	bool	""""""	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:193	None	tuning		yes
mat_lbfgs_type	enum	(PetscEnum)lqn->strategy	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:194	Implementation options for L-BFGS	tuning	2	yes
mat_ldfp_recursive	bool	""""""	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:197	None	tuning		yes
mat_ldfp_type	enum	(PetscEnum)lqn->strategy	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:198	Implementation options for L-DFP	tuning	2	yes
mat_lmvm_alpha	real	ldb->alpha	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:362	(developer) convex ratio in the J0 scaling	tuning		yes
mat_lmvm_alpha	real	lsb->alpha	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:512	(developer) convex ratio in the J0 scaling	tuning		yes
mat_lmvm_beta	real	ldb->beta	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:364	(developer) exponential factor in the diagonal J0 scaling	tuning		yes
mat_lmvm_beta	real	lsb->beta	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:509	(developer) exponential factor in the diagonal J0 scaling	tuning		yes
mat_lmvm_eps	real	lmvm->eps	ksp	lmvmimpl		src/ksp/ksp/utils/lmvm/lmvmimpl.c:264	(developer) machine zero definition	tuning		yes
mat_lmvm_forward	bool	ldb->forward	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:363	Forward -> Update diagonal scaling for B. Else -> diagonal scaling for H.	tuning		yes
mat_lmvm_hist_size	int	m_new	ksp	lmvmimpl		src/ksp/ksp/utils/lmvm/lmvmimpl.c:262	number of past updates kept in memory for the approximation	tuning		yes
mat_lmvm_ksp_its	int	lmvm->ksp_max_it	ksp	lmvmimpl		src/ksp/ksp/utils/lmvm/lmvmimpl.c:263	(developer) fixed number of KSP iterations to take when inverting J0	tuning		yes
mat_lmvm_phi	real	lsb->phi	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:493	(developer) convex ratio between BFGS and DFP components of the update	tuning		yes
mat_lmvm_rho	real	ldb->rho	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:360	(developer) update limiter in the J0 scaling	tuning		yes
mat_lmvm_rho	real	lsb->rho	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:511	(developer) update limiter in the J0 scaling	tuning		yes
mat_lmvm_scale_type	enum	(PetscEnum)lqn->scale_type	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:191	(developer) scaling type applied to J0	tuning	4	yes
mat_lmvm_scale_type	enum	(PetscEnum)stype	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:514	(developer) scaling type applied to J0	tuning	4	yes
mat_lmvm_sigma_hist	int	ldb->sigma_hist	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:365	(developer) number of past updates to use in the default J0 scalar	tuning		yes
mat_lmvm_sigma_hist	int	lsb->sigma_hist	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:513	(developer) number of past updates to use in the default J0 scalar	tuning		yes
mat_lmvm_theta	real	ldb->theta	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:359	(developer) convex ratio between BFGS and DFP components of the diagonal J0 scaling	tuning		yes
mat_lmvm_theta	real	lsb->theta	ksp	symbrdn		src/ksp/ksp/utils/lmvm/symbrdn/symbrdn.c:510	(developer) convex ratio between BFGS and DFP components of the diagonal J0 scaling	tuning		yes
mat_lmvm_tol	real	ldb->tol	ksp	diagbrdn		src/ksp/ksp/utils/lmvm/diagbrdn/diagbrdn.c:361	(developer) tolerance for bounding rescaling denominator	tuning		yes
mat_lqn_type	enum	(PetscEnum)lqn->strategy	ksp	denseqn		src/ksp/ksp/utils/lmvm/dense/denseqn.c:190	Implementation options for L-QN	tuning	2	yes
mat_schur_complement_ainv_type	enum	(PetscEnum)Na->ainvtype	ksp	schurm		src/ksp/ksp/utils/schurm/schurm.c:111	Type of approximation for DIAGFORM(A00) used when assembling Sp = A11 - A10 inv(DIAGFORM(A00)) A01	tuning		yes
mat_symmetric	bool	flg	ksp	schurm		src/ksp/ksp/utils/schurm/schurm.c:583	Sets the MAT_SYMMETRIC option	tuning		yes
mat_type	enum	!E && flg ? MATSBAIJ : mtype	ksp	schurm		src/ksp/ksp/utils/schurm/schurm.c:580	Matrix type	tuning		yes
recompute_w	bool	prcg->rc_w_q	ksp	pipeprcg	ksp_type=cg	src/ksp/ksp/impls/cg/pipeprcg/pipeprcg.c:29	-recompute w_k with Ar_k? (default = True)	tuning		yes
sub_ksp_dynamic_tolerance	string	monfilename	ksp	itcl		src/ksp/ksp/interface/itcl.c:511	Use dynamic tolerance for inner PC	tuning		yes
snes_linesearch_alpha	real	bt->alpha	linesearch	linesearchbt	snes_linesearch_type=bt	src/snes/linesearch/impls/bt/linesearchbt.c:387	Descent tolerance	tuning		yes
snes_linesearch_atol	real	linesearch->atol	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:840	Absolute tolerance for iterative line search	tuning		yes
snes_linesearch_damping	real	linesearch->damping	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:845	Line search damping and initial step guess	tuning		yes
snes_linesearch_keeplambda	bool	linesearch->keeplambda	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:847	Use previous lambda as damping	tuning		yes
snes_linesearch_ltol	real	linesearch->ltol	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:841	Change in lambda tolerance for iterative line search	tuning		yes
snes_linesearch_max_it	int	linesearch->max_its	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:842	Maximum iterations for iterative line searches	tuning		yes
snes_linesearch_maxstep	real	linesearch->maxstep	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:838	Maximum step size	tuning		yes
snes_linesearch_minlambda	real	linesearch->steptol	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:837	Minimum step length	tuning		yes
snes_linesearch_norms	bool	linesearch->norms	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:862	Compute final norms in line search	tuning		yes
snes_linesearch_order	int	linesearch->order	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:861	Order of approximation used in the line search	tuning		yes
snes_linesearch_precheck_picard	bool	flg	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:850	Use a correction that sometimes improves convergence of Picard iteration	diagnostic		yes
snes_linesearch_precheck_picard_angle	real	linesearch->precheck_picard_angle	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:855	Maximum angle at which to activate the correction	diagnostic		yes
snes_linesearch_rtol	real	linesearch->rtol	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:839	Relative tolerance for iterative line search	tuning		yes
snes_linesearch_type	enum	deft	linesearch	linesearch		src/snes/linesearch/interface/linesearch.c:825	Linesearch type	tuning	9	yes
mat_cholmod_	real	tmp	mat	sbaijcholmod		src/mat/impls/sbaij/seq/cholmod/sbaijcholmod.c:36	None	tuning		not found
mat_cholmod_factor	enum	(PetscEnum)c->supernodal	mat	sbaijcholmod		src/mat/impls/sbaij/seq/cholmod/sbaijcholmod.c:90	Factorization method	tuning	3	yes
mat_cholmod_nrelax	array		mat	sbaijcholmod		src/mat/impls/sbaij/seq/cholmod/sbaijcholmod.c:111	3 size_t supernodal relaxed amalgamation parameters	tuning		yes
mat_cholmod_pack	bool	chol->pack	mat	sbaijcholmod		src/mat/impls/sbaij/seq/cholmod/sbaijcholmod.c:80	Pack factors after factorization [disable for frequent repeat factorization]	tuning		yes
mat_cholmod_zrelax	array		mat	sbaijcholmod		src/mat/impls/sbaij/seq/cholmod/sbaijcholmod.c:104	3 real supernodal relaxed amalgamation parameters	tuning		yes
mat_coloring_distance	int	dist	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:205	Distance of the coloring	tuning		yes
mat_coloring_greedy_symmetric	bool	gr->symmetric	mat	greedy		src/mat/graphops/color/impls/greedy/greedy.c:532	Flag for assuming a symmetric matrix	tuning		yes
mat_coloring_jp_local	bool	jp->local	mat	jp		src/mat/graphops/color/impls/jp/jp.c:24	Do an initial coloring of local columns	tuning		yes
mat_coloring_maxcolors	int	maxcolors	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:207	Maximum colors returned at the end. 1 returns an independent set	tuning		yes
mat_coloring_test	bool	mc->valid	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:210	Check that a valid coloring has been produced	diagnostic		yes
mat_coloring_type	enum	deft	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:199	The coloring method used	tuning		yes
mat_coloring_weight_type	enum	(PetscEnum)mc->weight_type	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:212	Sets the type of vertex weighting used	tuning	4	yes
mat_fd_coloring_bcols	int	matfd->bcols	mat	fdmatrix		src/mat/matfd/fdmatrix.c:364	Number of block columns	tuning		yes
mat_fd_coloring_brows	int	matfd->brows	mat	fdmatrix		src/mat/matfd/fdmatrix.c:363	Number of block rows	tuning		yes
mat_fd_coloring_err	real	matfd->error_rel	mat	fdmatrix		src/mat/matfd/fdmatrix.c:355	Square root of relative error in function	tuning		yes
mat_fd_coloring_umin	real	matfd->umin	mat	fdmatrix		src/mat/matfd/fdmatrix.c:356	Minimum allowable u magnitude	tuning		yes
mat_fd_type	string	matfd->htype	mat	fdmatrix		src/mat/matfd/fdmatrix.c:357	None	tuning		yes
mat_is_coloring_test	bool	mc->valid_iscoloring	mat	matcoloring		src/mat/graphops/color/interface/matcoloring.c:211	Check that a valid iscoloring has been produced	diagnostic		yes
mat_mffd_check_positivity	bool	flg	mat	mffd		src/mat/impls/mffd/mffd.c:513	Insure that U + h*a is nonnegative	diagnostic		yes
mat_mffd_complex	bool	mfctx->usecomplex	mat	mffd		src/mat/impls/mffd/mffd.c:516	Use Lyness complex number trick to compute the matrix-vector product	tuning		not found
mat_mffd_compute_normu	bool	hctx->computenormU	mat	wp		src/mat/impls/mffd/wp.c:116	Compute the norm of u	tuning		yes
mat_mffd_err	real	mfctx->error_rel	mat	mffd		src/mat/impls/mffd/mffd.c:509	set sqrt relative error in function	tuning		yes
mat_mffd_period	int	mfctx->recomputeperiod	mat	mffd		src/mat/impls/mffd/mffd.c:510	how often h is recomputed	tuning		yes
mat_mffd_type	enum	((PetscObject)mfctx)->type_name	mat	mffd		src/mat/impls/mffd/mffd.c:506	Matrix free type	tuning		yes
mat_mffd_umin	real	hctx->umin	mat	mffddef		src/mat/impls/mffd/mffddef.c:109	umin	tuning		yes
mat_superlu_colperm	enum	4	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:408	ColPerm	tuning	4	yes
mat_superlu_conditionnumber	bool	(PetscBool)lu->options.ConditionNumber	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:418	ConditionNumber	tuning		yes
mat_superlu_diagpivotthresh	real	lu->options.DiagPivotThresh	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:414	DiagPivotThresh	tuning		yes
mat_superlu_dist_3d	bool	lu->use3d	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:716	Use SuperLU_DIST 3D distribution	tuning		yes
mat_superlu_dist_c	int	lu->npcol	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:734	Number columns in processor partition	tuning		yes
mat_superlu_dist_colperm	enum	5	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:625	Column permutation	tuning	4	yes
mat_superlu_dist_d	int	lu->npdep	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:719	Number of z entries in processor partition	tuning		yes
mat_superlu_dist_equil	bool	lu->options.Equil ? PETSC_TRUE : PETSC_F	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:602	Equilibrate matrix	tuning		yes
mat_superlu_dist_fact	enum	3	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:664	Sparsity pattern for repeated matrix factorization	tuning	3	yes
mat_superlu_dist_iterrefine	bool	lu->options.IterRefine == NOREFINE ? PET	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:680	Use iterative refinement	tuning		yes
mat_superlu_dist_parsymbfact	bool	PETSC_FALSE	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:653	Parallel symbolic factorization	tuning		yes
mat_superlu_dist_printstat	bool	(PetscBool)lu->options.PrintStat	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:689	Print factorization information	diagnostic		yes
mat_superlu_dist_r	int	lu->nprow	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:733	Number rows in processor partition	tuning		yes
mat_superlu_dist_replacetinypivot	bool	lu->options.ReplaceTinyPivot ? PETSC_TRU	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:649	Replace tiny pivots	tuning		yes
mat_superlu_dist_rowperm	enum	4	mat	superlu_dist		src/mat/impls/aij/mpi/superlu_dist/superlu_dist.c:605	Row permutation	tuning	2	yes
